"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","24","17","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","24","14","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","24","10","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","D","6","6","0","6","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"TIDAL BASIN","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","16","12","0","16","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","3","2","0","3","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","24","21","0","24","0","24","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"C&O CANAL","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","D","6","6","0","6","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","D","6","5","0","6","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","DISSOLVED","Not Listed","none","2","2","0","2","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","COPPER","COPPER","DISSOLVED","4a","D","63","63","0","63","0","27","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","COPPER","COPPER","DISSOLVED","4a","D","56","56","1","56","1","19","21","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No","Move to Category 3","6"
"BROAD BRANCH","COPPER","COPPER","DISSOLVED","Not Listed","none","24","24","0","24","0","24","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","COPPER","COPPER","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","COPPER","COPPER","DISSOLVED","3","D","24","22","1","24","1","24","21","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Remove from Category 3","13"
"FENWICK BRANCH","COPPER","COPPER","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","COPPER","COPPER","DISSOLVED","3","D","30","27","0","30","0","27","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"FORT STANTON TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","none","32","31","0","32","0","28","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"HICKEY RUN","COPPER","COPPER","DISSOLVED","3","D","193","190","2","191","2","103","2","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Move to Category 5","7"
"KINGMAN LAKE","COPPER","COPPER","DISSOLVED","3","D","25","25","0","25","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"KLINGLE VALLEY","COPPER","COPPER","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","COPPER","COPPER","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","COPPER","COPPER","DISSOLVED","3","D","24","23","0","24","0","24","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"NASH RUN","COPPER","COPPER","DISSOLVED","3","D","7","7","0","7","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"NORMANSTONE CREEK","COPPER","COPPER","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"OXON RUN","COPPER","COPPER","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","COPPER","COPPER","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","COPPER","COPPER","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"POPE BRANCH","COPPER","COPPER","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"PORTAL BRANCH","COPPER","COPPER","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","COPPER","COPPER","DISSOLVED","Not Listed","none","24","24","0","24","0","24","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","COPPER","COPPER","DISSOLVED","Not Listed","none","24","23","0","24","0","24","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","COPPER","COPPER","DISSOLVED","Not Listed","none","24","23","0","24","0","24","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","COPPER","COPPER","DISSOLVED","4a","D","24","24","0","24","0","24","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 4a","3"
"ROCK CREEK UPPER","COPPER","COPPER","DISSOLVED","Not Listed","none","201","200","1","199","1","107","5","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Not listed - take no action","16"
"SOAPSTONE CREEK","COPPER","COPPER","DISSOLVED","3","D","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","none","6","4","0","6","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"TIDAL BASIN","COPPER","COPPER","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","COPPER","COPPER","DISSOLVED","Not Listed","none","16","16","0","16","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","COPPER","COPPER","DISSOLVED","Not Listed","none","3","3","0","3","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","COPPER","COPPER","DISSOLVED","Not Listed","none","214","211","1","212","1","127","174","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No","Not listed - take no action","16"
"BATTERY KEMBLE CREEK","COPPER","COPPER","DISSOLVED","3","D","1","1","0","1","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"C&O CANAL","COPPER","COPPER","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","none","6","6","0","6","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","none","6","4","0","6","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","COPPER","COPPER","DISSOLVED","Not Listed","none","2","2","0","2","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","LEAD","LEAD","DISSOLVED","Not Listed","none","60","49","0","60","0","24","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"ANACOSTIA UPPER","LEAD","LEAD","DISSOLVED","Not Listed","none","37","31","0","37","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"BROAD BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","24","7","0","24","0","24","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"DUMBARTON OAKS","LEAD","LEAD","DISSOLVED","Not Listed","none","24","5","1","24","1","24","21","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","Yes","Not listed - take no action","16"
"FENWICK BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"FORT DUPONT TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","none","27","9","0","27","0","24","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","none","29","9","0","29","0","25","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"HICKEY RUN","LEAD","LEAD","DISSOLVED","Not Listed","none","193","188","0","191","0","103","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"KINGMAN LAKE","LEAD","LEAD","DISSOLVED","Not Listed","none","22","18","0","22","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"KLINGLE VALLEY","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"LUZON BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"MELVIN HAZEN VALLEY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","24","5","0","24","0","24","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"NASH RUN","LEAD","LEAD","DISSOLVED","Not Listed","none","4","4","0","4","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"NORMANSTONE CREEK","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"OXON RUN","LEAD","LEAD","DISSOLVED","Not Listed","none","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"PINEHURST BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"PINEY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"POPE BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"PORTAL BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"POTOMAC LOWER","LEAD","LEAD","DISSOLVED","Not Listed","none","24","10","1","24","1","24","20","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","Yes","Not listed - take no action","16"
"POTOMAC MIDDLE","LEAD","LEAD","DISSOLVED","Not Listed","none","24","6","0","24","0","24","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","LEAD","LEAD","DISSOLVED","Not Listed","none","24","5","0","24","0","24","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","LEAD","LEAD","DISSOLVED","4a","D","24","8","0","24","0","24","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Remove from Category 4a","3"
"ROCK CREEK UPPER","LEAD","LEAD","DISSOLVED","Not Listed","none","200","192","0","198","0","106","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"TEXAS AVENUE TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","none","3","2","0","3","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"TIDAL BASIN","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","LEAD","LEAD","DISSOLVED","Not Listed","none","16","8","0","16","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","LEAD","LEAD","DISSOLVED","Not Listed","none","3","2","0","3","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","LEAD","LEAD","DISSOLVED","Not Listed","none","213","172","0","211","0","126","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","LEAD","LEAD","DISSOLVED","Not Listed","none","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"C&O CANAL","LEAD","LEAD","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","none","3","3","0","3","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","none","3","3","0","3","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","none","2","2","0","2","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","none","60","2","0","60","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"ANACOSTIA UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","none","30","1","0","30","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"BROAD BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","0","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"DUMBARTON OAKS","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","2","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FENWICK BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FORT DUPONT TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","0","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","none","25","0","0","25","0","25","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"HICKEY RUN","MERCURY","MERCURY","DISSOLVED","Not Listed","none","1","0","0","1","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"KINGMAN LAKE","MERCURY","MERCURY","DISSOLVED","Not Listed","none","18","2","0","18","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"KLINGLE VALLEY","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"LUZON BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","none","24","0","0","24","0","24","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"NASH RUN","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"NORMANSTONE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
"OXON RUN","MERCURY","MERCURY","DISSOLVED","Not Listed","none","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143","No exceedance","Not listed - take no action","15"
