"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","n_d_exceedance_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","tidal_type","decision_description","decision_case_number"
"OXON RUN","ARSENIC","ARSENIC","TOTAL","3","36","36","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0 (D)","2","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","25","25","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","ARSENIC","ARSENIC","TOTAL","3","22","22","1","1 (D)","3","1","1","1","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","7"
"PORTAL BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0 (D)","2","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","93","170","13","13 (D)","25","10","13","10","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Tidal","Move to Category 5","14"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","TOTAL","Not Listed","55","93","11","11 (D)","19","9","13","9","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Tidal","Move to Category 5","14"
"POTOMAC UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","50","50","12","12 (D)","15","11","13","11","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Tidal","Move to Category 5","14"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","57","57","10","10 (D)","16","10","13","10","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","14"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","47","47","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Take no action","15"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","TOTAL","3","23","23","0","0 (D)","2","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","39","39","7","7 (D)","8","6","3","3","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Keep in in Category 4a","1"
"TIDAL BASIN","ARSENIC","ARSENIC","TOTAL","Not Listed","48","48","0","0 (D)","3","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Tidal","Take no action","15"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","TOTAL","Not Listed","43","55","17","17 (D)","19","16","12","12","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Tidal","Move to Category 5","14"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","41","41","3","3 (D)","6","3","3","3","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","14"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","53","92","11","11 (D)","19","11","13","11","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Move to Category 5","14"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","TOTAL","3","42","42","0","0 (D)","4","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Remove from Category 3","8"
"C&O CANAL","ARSENIC","ARSENIC","TOTAL","Not Listed","38","69","0","0 (D)","6","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Take no action","15"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","42","42","6","6 (D)","9","5","3","3","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Keep in in Category 4a","1"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","45","45","6","6 (D)","9","5","3","3","0 (D)","0.14000000000000001","2.07 - 35.7","Yes","Non-tidal","Keep in in Category 4a","1"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","9","10","0","0 (D)","2","0","0",NA,"0 (D)","0.14000000000000001","2.07 - 35.7",NA,"Non-tidal","Take no action","15"
"ANACOSTIA LOWER","COPPER","COPPER","TOTAL","4a","24","52","52","0 (D)","52","0","40","0","0 (D)","NA","NA",NA,"Tidal","Move to Category 3","2"
"ANACOSTIA UPPER","COPPER","COPPER","TOTAL","4a","14","56","56","0 (D)","56","0","37","0","0 (D)","NA","NA",NA,"Tidal","Move to Category 3","2"
"BROAD BRANCH","COPPER","COPPER","TOTAL","Not Listed","13","13","13","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"DUMBARTON OAKS","COPPER","COPPER","TOTAL","3","13","13","12","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"FORT DUPONT TRIBUTARY","COPPER","COPPER","TOTAL","3","19","19","19","0 (D)","19","0","16","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"FORT STANTON TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","19","20","20","0 (D)","20","0","16","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","COPPER","COPPER","TOTAL","3","1","1","1","0 (D)","1","0","1","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"KINGMAN LAKE","COPPER","COPPER","TOTAL","3","13","25","25","0 (D)","25","0","15","0","0 (D)","NA","NA",NA,"Tidal","Keep in in Category 3","9"
"MELVIN HAZEN VALLEY BRANCH","COPPER","COPPER","TOTAL","3","13","13","11","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"NASH RUN","COPPER","COPPER","TOTAL","3","6","7","7","0 (D)","7","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"OXON RUN","COPPER","COPPER","TOTAL","3","1","1","1","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","COPPER","COPPER","TOTAL","3","1","1","1","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","COPPER","COPPER","TOTAL","3","1","1","1","0 (D)","1","0","1","0","0 (D)","NA","NA",NA,"Non-tidal","Keep in in Category 3","9"
"POTOMAC LOWER","COPPER","COPPER","TOTAL","Not Listed","13","13","13","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","COPPER","COPPER","TOTAL","Not Listed","13","13","12","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","COPPER","COPPER","TOTAL","Not Listed","13","13","11","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","COPPER","COPPER","TOTAL","4a","13","13","13","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","6","0 (D)","6","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"WASHINGTON SHIP CHANNEL","COPPER","COPPER","TOTAL","Not Listed","4","16","16","0 (D)","16","0","12","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"WATTS BRANCH LOWER","COPPER","COPPER","TOTAL","Not Listed","3","3","3","0 (D)","3","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"WATTS BRANCH UPPER","COPPER","COPPER","TOTAL","Not Listed","13","13","13","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"BATTERY KEMBLE CREEK","COPPER","COPPER","TOTAL","3","1","1","1","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Remove from Category 3","8"
"FORT CHAPLIN TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","6","0 (D)","6","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FORT DAVIS TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","5","0 (D)","6","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FOUNDRY BRANCH","COPPER","COPPER","TOTAL","Not Listed","1","2","2","0 (D)","2","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"ANACOSTIA LOWER","LEAD","LEAD","TOTAL","Not Listed","21","49","49","0 (D)","49","0","37","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"ANACOSTIA UPPER","LEAD","LEAD","TOTAL","Not Listed","11","37","37","0 (D)","37","0","18","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"BROAD BRANCH","LEAD","LEAD","TOTAL","Not Listed","13","13","7","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"DUMBARTON OAKS","LEAD","LEAD","TOTAL","Not Listed","13","13","10","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FORT DUPONT TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","16","16","16","0 (D)","16","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","16","17","13","0 (D)","17","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0 (D)","1","0","1","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"KINGMAN LAKE","LEAD","LEAD","TOTAL","Not Listed","10","22","22","0 (D)","22","0","12","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"MELVIN HAZEN VALLEY BRANCH","LEAD","LEAD","TOTAL","Not Listed","13","13","10","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"NASH RUN","LEAD","LEAD","TOTAL","Not Listed","3","4","4","0 (D)","4","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"OXON RUN","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"PINEY BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"POPE BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0 (D)","1","0","1","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"POTOMAC LOWER","LEAD","LEAD","TOTAL","Not Listed","13","13","13","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","LEAD","LEAD","TOTAL","Not Listed","13","13","11","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","LEAD","LEAD","TOTAL","Not Listed","13","13","11","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","LEAD","LEAD","TOTAL","4a","13","13","12","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Move to Category 3","2"
"TEXAS AVENUE TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0 (D)","3","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"WASHINGTON SHIP CHANNEL","LEAD","LEAD","TOTAL","Not Listed","4","16","16","0 (D)","16","0","12","0","0 (D)","NA","NA",NA,"Tidal","Take no action","15"
"WATTS BRANCH LOWER","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0 (D)","3","0","3","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"WATTS BRANCH UPPER","LEAD","LEAD","TOTAL","Not Listed","13","13","13","0 (D)","13","0","13","0","0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"BATTERY KEMBLE CREEK","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0 (D)","1","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FORT CHAPLIN TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0 (D)","3","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FORT DAVIS TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0 (D)","3","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"FOUNDRY BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","2","2","0 (D)","2","0","0",NA,"0 (D)","NA","NA",NA,"Non-tidal","Take no action","15"
"ANACOSTIA LOWER","MERCURY","MERCURY","TOTAL","Not Listed","34","62","4","1 (D)","49","0","37","0","59 (D)","0.15","0.00113 - 1.33","No","Tidal","Take no action","15"
"ANACOSTIA UPPER","MERCURY","MERCURY","TOTAL","Not Listed","21","70","3","2 (D)","30","0","18","0","45 (D)","0.15","0.00113 - 1.33","No","Tidal","Take no action","15"
"BROAD BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","13","13","0","0 (D)","13","0","13","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","10","10","0","0 (D)","0","0","0",NA,"0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"DUMBARTON OAKS","MERCURY","MERCURY","TOTAL","Not Listed","13","13","1","1 (D)","13","1","13","1","10 (D)","0.15","0.00113 - 1.33","Yes","Non-tidal","Move to Category 5","14"
"FORT DUPONT TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","14","14","0","0 (D)","13","0","13","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"FORT STANTON TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","24","24","0","0 (D)","13","0","13","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","MERCURY","MERCURY","TOTAL","Not Listed","112","112","100","0 (D)","101","0","100","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"KINGMAN LAKE","MERCURY","MERCURY","TOTAL","Not Listed","18","33","0","0 (D)","18","0","12","0","0 (D)","0.15","0.00113 - 1.33",NA,"Tidal","Take no action","15"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","13","13","1","0 (D)","13","0","13","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"OXON RUN","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0 (D)","0","0","0",NA,"0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"POPE BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","1","1","0","0 (D)","1","0","1","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"POTOMAC LOWER","MERCURY","MERCURY","TOTAL","Not Listed","39","65","1","1 (D)","13","0","13","0","34 (D)","0.15","0.00113 - 1.33","No","Tidal","Take no action","15"
"POTOMAC MIDDLE","MERCURY","MERCURY","TOTAL","Not Listed","26","39","0","0 (D)","13","0","13","0","0 (D)","0.15","0.00113 - 1.33",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","MERCURY","MERCURY","TOTAL","Not Listed","26","26","1","1 (D)","13","0","13","0","18 (D)","0.15","0.00113 - 1.33","No","Tidal","Take no action","15"
"ROCK CREEK LOWER","MERCURY","MERCURY","TOTAL","4a","22","22","1","1 (D)","13","0","13","0","21 (D)","0.15","0.00113 - 1.33","No","Non-tidal","Remove from Category 4a","3"
"ROCK CREEK UPPER","MERCURY","MERCURY","TOTAL","4a","113","113","104","1 (D)","103","0","102","0","111 (D)","0.15","0.00113 - 1.33","No","Non-tidal","Remove from Category 4a","3"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0 (D)","0","0","0",NA,"0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"TIDAL BASIN","MERCURY","MERCURY","TOTAL","Not Listed","10","10","1","1 (D)","0","0","0",NA,"8 (D)","0.15","0.00113 - 1.33","No","Tidal","Take no action","15"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","TOTAL","Not Listed","17","29","0","0 (D)","16","0","12","0","0 (D)","0.15","0.00113 - 1.33",NA,"Tidal","Take no action","15"
"WATTS BRANCH LOWER","MERCURY","MERCURY","TOTAL","Not Listed","14","14","1","0 (D)","3","0","3","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"WATTS BRANCH UPPER","MERCURY","MERCURY","TOTAL","Not Listed","124","137","101","0 (D)","115","0","114","0","0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","10","10","2","2 (D)","0","0","0",NA,"4 (D)","0.15","0.00113 - 1.33","No","Non-tidal","Take no action","15"
"C&O CANAL","MERCURY","MERCURY","TOTAL","Not Listed","9","15","0","0 (D)","0","0","0",NA,"0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","5","5","0","0 (D)","0","0","0",NA,"0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0 (D)","0","0","0",NA,"0 (D)","0.15","0.00113 - 1.33",NA,"Non-tidal","Take no action","15"
"FOUNDRY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","7","7","1","1 (D)","0","0","0",NA,"5 (D)","0.15","0.00113 - 1.33","No","Non-tidal","Take no action","15"
"ANACOSTIA LOWER","ZINC","ZINC","TOTAL","4a","51","79","56","0 (D)","52","0","40","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Remove from Category 4a","3"
"ANACOSTIA UPPER","ZINC","ZINC","TOTAL","4a","42","123","89","0 (D)","56","0","37","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Remove from Category 4a","3"
"BROAD BRANCH","ZINC","ZINC","TOTAL","Not Listed","23","23","4","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"DALECARLIA TRIBUTARY","ZINC","ZINC","TOTAL","3","24","24","7","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"DUMBARTON OAKS","ZINC","ZINC","TOTAL","3","24","24","12","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","10"
"FENWICK BRANCH","ZINC","ZINC","TOTAL","3","11","11","2","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","TOTAL","3","31","31","26","0 (D)","19","0","16","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","10"
"FORT STANTON TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","42","43","32","0 (D)","20","0","16","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"HICKEY RUN","ZINC","ZINC","TOTAL","3","28","28","20","0 (D)","1","0","1","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","10"
"KINGMAN LAKE","ZINC","ZINC","TOTAL","3","37","65","55","0 (D)","25","0","15","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Remove from Category 3","10"
"KLINGLE VALLEY","ZINC","ZINC","TOTAL","3","9","9","0","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"LUZON BRANCH","ZINC","ZINC","TOTAL","3","8","8","3","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","TOTAL","3","23","23","7","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","10"
"NASH RUN","ZINC","ZINC","TOTAL","3","15","16","15","0 (D)","7","0","3","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","10"
"NORMANSTONE CREEK","ZINC","ZINC","TOTAL","Not Listed","10","10","0","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"OXON RUN","ZINC","ZINC","TOTAL","3","21","21","14","0 (D)","1","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"PINEHURST BRANCH","ZINC","ZINC","TOTAL","3","10","10","1","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"PINEY BRANCH","ZINC","ZINC","TOTAL","3","11","11","2","0 (D)","1","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"POPE BRANCH","ZINC","ZINC","TOTAL","3","8","8","3","0 (D)","1","0","1","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","10"
"PORTAL BRANCH","ZINC","ZINC","TOTAL","3","10","10","6","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"POTOMAC LOWER","ZINC","ZINC","TOTAL","Not Listed","65","108","33","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Take no action","15"
"POTOMAC MIDDLE","ZINC","ZINC","TOTAL","Not Listed","40","53","15","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Take no action","15"
"POTOMAC UPPER","ZINC","ZINC","TOTAL","Not Listed","30","30","11","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Take no action","15"
"ROCK CREEK LOWER","ZINC","ZINC","TOTAL","4a","43","43","22","0 (D)","13","0","13","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 4a","3"
"ROCK CREEK UPPER","ZINC","ZINC","TOTAL","Not Listed","32","32","9","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"SOAPSTONE CREEK","ZINC","ZINC","TOTAL","3","10","10","1","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","27","27","26","0 (D)","6","0","3","0","0 (D)","26000","0.0000846 - 0.000769",NA,"Non-tidal","Take no action","15"
"TIDAL BASIN","ZINC","ZINC","TOTAL","Not Listed","33","33","13","0 (D)","0","0","0",NA,"0 (D)","26000","0.0000846 - 0.000769",NA,"Tidal","Take no action","15"
