"waterbody_segment","pollutant_name","pollutant_group","test_fraction","current_category","number_of_unique_days_sampled","number_of_samples_1990_to_2021","number_of_detects_1990_to_2021","n_d_exceedance_1990_to_2021","number_of_samples_2011_to_2021","n_d_exceedance_2011_to_2021","number_of_samples_2016_to_2021","number_of_samples_since_last_class_d_exceedance","d_criterion","d_dl_ratio_range","was_last_d_exceedance_within_5_year_period","fish_tissue_results_class_d","decision_description","decision_case_number","updated_tmdl"
"NASH RUN","ARSENIC","ARSENIC","TOTAL","4a","30","31","6","6","10","6","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","TOTAL","Not Listed","24","24","0","0","2","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","ARSENIC","ARSENIC","TOTAL","3","36","36","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEHURST BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0","2","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"PINEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","25","25","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"POPE BRANCH","ARSENIC","ARSENIC","TOTAL","3","22","22","1","1","3","1","1","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 3","11","No"
"PORTAL BRANCH","ARSENIC","ARSENIC","TOTAL","3","24","24","0","0","2","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"POTOMAC LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","93","170","13","13","25","10","13","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14","No"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","TOTAL","Not Listed","55","93","11","11","19","9","13","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14","No"
"POTOMAC UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","50","50","12","12","15","11","13","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14","No"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","57","57","10","10","16","10","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14","No"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","47","47","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Take no action","15","No"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","TOTAL","3","23","23","0","0","2","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","39","39","7","7","8","6","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"TIDAL BASIN","ARSENIC","ARSENIC","TOTAL","Not Listed","48","48","0","0","3","0","0","0","0.14","2.07 - 35.7",NA,"No exceedances","Take no action","15","No"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","TOTAL","Not Listed","43","55","17","17","19","16","12","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14","No"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","41","41","3","3","6","3","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14","No"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","53","92","11","11","19","11","13","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14","No"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","TOTAL","3","42","42","0","0","4","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Remove from Category 3","8","No"
"C&O CANAL","ARSENIC","ARSENIC","TOTAL","Not Listed","38","69","0","0","6","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","42","42","6","6","9","5","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","45","45","6","6","9","5","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in in Category 4a","1","Yes"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","9","10","0","0","2","0","0","0","0.14","2.07 - 35.7",NA,"NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","COPPER","COPPER","TOTAL","4a","24","52","52","0","52","0","40","0","no criteria",NA,NA,"No exceedances",NA,"0","Yes"
"ANACOSTIA UPPER","COPPER","COPPER","TOTAL","4a","14","56","56","0","56","0","37","0","no criteria",NA,NA,"No exceedances",NA,"0","Yes"
"BROAD BRANCH","COPPER","COPPER","TOTAL","Not Listed","13","13","13","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"DALECARLIA TRIBUTARY","COPPER","COPPER","TOTAL","3","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"DUMBARTON OAKS","COPPER","COPPER","TOTAL","3","13","13","12","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FENWICK BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT DUPONT TRIBUTARY","COPPER","COPPER","TOTAL","3","19","19","19","0","19","0","16","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT STANTON TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","19","20","20","0","20","0","16","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"HICKEY RUN","COPPER","COPPER","TOTAL","3","1","1","1","0","1","0","1","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"KINGMAN LAKE","COPPER","COPPER","TOTAL","3","13","25","25","0","25","0","15","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"KLINGLE VALLEY","COPPER","COPPER","TOTAL","3","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"LUZON BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"MELVIN HAZEN VALLEY BRANCH","COPPER","COPPER","TOTAL","3","13","13","11","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"NASH RUN","COPPER","COPPER","TOTAL","3","6","7","7","0","7","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"NORMANSTONE CREEK","COPPER","COPPER","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"OXON RUN","COPPER","COPPER","TOTAL","3","1","1","1","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PINEHURST BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PINEY BRANCH","COPPER","COPPER","TOTAL","3","1","1","1","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"POPE BRANCH","COPPER","COPPER","TOTAL","3","1","1","1","0","1","0","1","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PORTAL BRANCH","COPPER","COPPER","TOTAL","3","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"POTOMAC LOWER","COPPER","COPPER","TOTAL","Not Listed","13","13","13","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"POTOMAC MIDDLE","COPPER","COPPER","TOTAL","Not Listed","13","13","12","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"POTOMAC UPPER","COPPER","COPPER","TOTAL","Not Listed","13","13","11","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"ROCK CREEK LOWER","COPPER","COPPER","TOTAL","4a","13","13","13","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"ROCK CREEK UPPER","COPPER","COPPER","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"SOAPSTONE CREEK","COPPER","COPPER","TOTAL","3","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"TEXAS AVENUE TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","6","0","6","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"TIDAL BASIN","COPPER","COPPER","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"No exceedances",NA,"0","No"
"WASHINGTON SHIP CHANNEL","COPPER","COPPER","TOTAL","Not Listed","4","16","16","0","16","0","12","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"WATTS BRANCH LOWER","COPPER","COPPER","TOTAL","Not Listed","3","3","3","0","3","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"WATTS BRANCH UPPER","COPPER","COPPER","TOTAL","Not Listed","13","13","13","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"BATTERY KEMBLE CREEK","COPPER","COPPER","TOTAL","3","1","1","1","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"C&O CANAL","COPPER","COPPER","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT CHAPLIN TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","6","0","6","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT DAVIS TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","5","0","6","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FOUNDRY BRANCH","COPPER","COPPER","TOTAL","Not Listed","1","2","2","0","2","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"ANACOSTIA LOWER","LEAD","LEAD","TOTAL","Not Listed","21","49","49","0","49","0","37","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"ANACOSTIA UPPER","LEAD","LEAD","TOTAL","Not Listed","11","37","37","0","37","0","18","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"BROAD BRANCH","LEAD","LEAD","TOTAL","Not Listed","13","13","7","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"DALECARLIA TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"DUMBARTON OAKS","LEAD","LEAD","TOTAL","Not Listed","13","13","10","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FENWICK BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT DUPONT TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","16","16","16","0","16","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT STANTON TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","16","17","13","0","17","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"HICKEY RUN","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0","1","0","1","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"KINGMAN LAKE","LEAD","LEAD","TOTAL","Not Listed","10","22","22","0","22","0","12","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"KLINGLE VALLEY","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"LUZON BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"MELVIN HAZEN VALLEY BRANCH","LEAD","LEAD","TOTAL","Not Listed","13","13","10","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"NASH RUN","LEAD","LEAD","TOTAL","Not Listed","3","4","4","0","4","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"NORMANSTONE CREEK","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"OXON RUN","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PINEHURST BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PINEY BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"POPE BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0","1","0","1","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"PORTAL BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"POTOMAC LOWER","LEAD","LEAD","TOTAL","Not Listed","13","13","13","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"POTOMAC MIDDLE","LEAD","LEAD","TOTAL","Not Listed","13","13","11","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"POTOMAC UPPER","LEAD","LEAD","TOTAL","Not Listed","13","13","11","0","13","0","13","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"ROCK CREEK LOWER","LEAD","LEAD","TOTAL","4a","13","13","12","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"ROCK CREEK UPPER","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"SOAPSTONE CREEK","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"TEXAS AVENUE TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0","3","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"TIDAL BASIN","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"No exceedances",NA,"0","No"
"WASHINGTON SHIP CHANNEL","LEAD","LEAD","TOTAL","Not Listed","4","16","16","0","16","0","12","0","no criteria",NA,NA,"No exceedances",NA,"0","No"
"WATTS BRANCH LOWER","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0","3","0","3","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"WATTS BRANCH UPPER","LEAD","LEAD","TOTAL","Not Listed","13","13","13","0","13","0","13","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"BATTERY KEMBLE CREEK","LEAD","LEAD","TOTAL","Not Listed","1","1","1","0","1","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"C&O CANAL","LEAD","LEAD","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT CHAPLIN TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0","3","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FORT DAVIS TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","0","3","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"FOUNDRY BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","2","2","0","2","0","0","0","no criteria",NA,NA,"NA - not sampled",NA,"0","No"
"ANACOSTIA LOWER","MERCURY","MERCURY","TOTAL","Not Listed","34","62","4","1","49","0","37","59","0.15","0.00113 - 1.33","No","No exceedances","Take no action","15","No"
"ANACOSTIA UPPER","MERCURY","MERCURY","TOTAL","Not Listed","21","70","3","2","30","0","18","45","0.15","0.00113 - 1.33","No","No exceedances","Take no action","15","No"
"BROAD BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","13","13","0","0","13","0","13","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","10","10","0","0","0","0","0","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"DUMBARTON OAKS","MERCURY","MERCURY","TOTAL","Not Listed","13","13","1","1","13","1","13","10","0.15","0.00113 - 1.33","Yes","NA - not sampled","Take no action","16","No"
"FENWICK BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"FORT DUPONT TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","14","14","0","0","13","0","13","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"FORT STANTON TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","24","24","0","0","13","0","13","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"HICKEY RUN","MERCURY","MERCURY","TOTAL","Not Listed","112","112","100","0","101","0","100","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"KINGMAN LAKE","MERCURY","MERCURY","TOTAL","Not Listed","18","33","0","0","18","0","12","0","0.15","0.00113 - 1.33",NA,"No exceedances","Take no action","15","No"
"KLINGLE VALLEY","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"LUZON BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","13","13","1","0","13","0","13","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"NASH RUN","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"NORMANSTONE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"OXON RUN","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0","0","0","0","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"PINEHURST BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"PINEY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"POPE BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","1","1","0","0","1","0","1","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"PORTAL BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"POTOMAC LOWER","MERCURY","MERCURY","TOTAL","Not Listed","39","65","1","1","13","0","13","34","0.15","0.00113 - 1.33","No","No exceedances","Take no action","15","No"
"POTOMAC MIDDLE","MERCURY","MERCURY","TOTAL","Not Listed","26","39","0","0","13","0","13","0","0.15","0.00113 - 1.33",NA,"No exceedances","Take no action","15","No"
"POTOMAC UPPER","MERCURY","MERCURY","TOTAL","Not Listed","26","26","1","1","13","0","13","18","0.15","0.00113 - 1.33","No","No exceedances","Take no action","15","No"
"ROCK CREEK LOWER","MERCURY","MERCURY","TOTAL","4a","22","22","1","1","13","0","13","21","0.15","0.00113 - 1.33","No","NA - not sampled","Remove from Category 4a","3","No"
"ROCK CREEK UPPER","MERCURY","MERCURY","TOTAL","4a","113","113","104","1","103","0","102","111","0.15","0.00113 - 1.33","No","NA - not sampled","Remove from Category 4a","3","No"
"SOAPSTONE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0","0","0","0","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"TIDAL BASIN","MERCURY","MERCURY","TOTAL","Not Listed","10","10","1","1","0","0","0","8","0.15","0.00113 - 1.33","No","No exceedances","Take no action","15","No"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","TOTAL","Not Listed","17","29","0","0","16","0","12","0","0.15","0.00113 - 1.33",NA,"No exceedances","Take no action","15","No"
"WATTS BRANCH LOWER","MERCURY","MERCURY","TOTAL","Not Listed","14","14","1","0","3","0","3","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"WATTS BRANCH UPPER","MERCURY","MERCURY","TOTAL","Not Listed","124","137","101","0","115","0","114","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","10","10","2","2","0","0","0","4","0.15","0.00113 - 1.33","No","NA - not sampled","Take no action","15","No"
"C&O CANAL","MERCURY","MERCURY","TOTAL","Not Listed","9","15","0","0","0","0","0","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","5","5","0","0","0","0","0","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0","0","0","0","0","0.15","0.00113 - 1.33",NA,"NA - not sampled","Take no action","15","No"
"FOUNDRY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","7","7","1","1","0","0","0","5","0.15","0.00113 - 1.33","No","NA - not sampled","Take no action","15","No"
"ANACOSTIA LOWER","ZINC","ZINC","TOTAL","4a","51","79","56","0","52","0","40","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","ZINC","ZINC","TOTAL","4a","42","123","89","0","56","0","37","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Remove from Category 4a","3","Yes"
"BROAD BRANCH","ZINC","ZINC","TOTAL","Not Listed","23","23","4","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"DALECARLIA TRIBUTARY","ZINC","ZINC","TOTAL","3","24","24","7","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"DUMBARTON OAKS","ZINC","ZINC","TOTAL","3","24","24","12","0","13","0","13","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","10","No"
"FENWICK BRANCH","ZINC","ZINC","TOTAL","3","11","11","2","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","TOTAL","3","31","31","26","0","19","0","16","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","10","No"
"FORT STANTON TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","42","43","32","0","20","0","16","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Take no action","15","No"
"HICKEY RUN","ZINC","ZINC","TOTAL","3","28","28","20","0","1","0","1","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","10","No"
"KINGMAN LAKE","ZINC","ZINC","TOTAL","3","37","65","55","0","25","0","15","0","26000","0.0000846 - 0.000769",NA,"No exceedances","Remove from Category 3","10","No"
"KLINGLE VALLEY","ZINC","ZINC","TOTAL","3","9","9","0","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
"LUZON BRANCH","ZINC","ZINC","TOTAL","3","8","8","3","0","0","0","0","0","26000","0.0000846 - 0.000769",NA,"NA - not sampled","Remove from Category 3","8","No"
