"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceed-ance","Class C CCC Criterion (ug/L)","ccc_dl_ratio_range","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #","Updated TMDL?"
"KLINGLE VALLEY","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"LUZON BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","13","13","6","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","10","No"
"NASH RUN","ARSENIC","ARSENIC","DISSOLVED","4a","6","7","6","0","7","0","3","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"OXON RUN","ARSENIC","ARSENIC","DISSOLVED","3","1","1","1","0","1","0","0","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"PINEY BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","1","1","0","0","1","0","0","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"POPE BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","1","1","0","0","1","0","1","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","10","No"
"PORTAL BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","10","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","8","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","9","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","6","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","6","6","6","0","6","0","3","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"TIDAL BASIN","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","DISSOLVED","Not Listed","4","16","12","0","16","0","12","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","3","3","2","0","3","0","3","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","11","0","13","0","13","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","DISSOLVED","3","1","1","1","0","1","0","0","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 3","8","No"
"C&O CANAL","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","6","6","6","0","6","0","3","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","6","6","5","0","6","0","3","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Remove from Category 4a","3","Yes"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","DISSOLVED","Not Listed","1","2","2","0","2","0","0","0","150","0.0019 - 0.00653","340","0.000853 - 0.00288",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","COPPER","COPPER","DISSOLVED","4a","24","52","52","0","52","0","40","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 4a","3","Yes"
"ANACOSTIA UPPER","COPPER","COPPER","DISSOLVED","4a","14","56","56","1","56","1","37","21","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Move to Category 3","6","Yes"
"BROAD BRANCH","COPPER","COPPER","DISSOLVED","Not Listed","13","13","13","0","13","0","13","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"DUMBARTON OAKS","COPPER","COPPER","DISSOLVED","3","13","13","11","1","13","1","13","10","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Remove from Category 3","13","No"
"FENWICK BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"FORT DUPONT TRIBUTARY","COPPER","COPPER","DISSOLVED","3","19","19","18","0","19","0","16","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","10","No"
"FORT STANTON TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","19","20","19","0","20","0","16","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"HICKEY RUN","COPPER","COPPER","DISSOLVED","3","150","150","147","1","150","1","102","71","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Remove from Category 3","13","No"
"KINGMAN LAKE","COPPER","COPPER","DISSOLVED","3","13","25","25","0","25","0","15","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","10","No"
"KLINGLE VALLEY","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"LUZON BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"MELVIN HAZEN VALLEY BRANCH","COPPER","COPPER","DISSOLVED","3","13","13","12","0","13","0","13","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","10","No"
"NASH RUN","COPPER","COPPER","DISSOLVED","3","6","7","7","0","7","0","3","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","10","No"
"NORMANSTONE CREEK","COPPER","COPPER","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"OXON RUN","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","0","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"PINEHURST BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"PINEY BRANCH","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","0","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"POPE BRANCH","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","1","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","10","No"
"PORTAL BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"POTOMAC LOWER","COPPER","COPPER","DISSOLVED","Not Listed","13","13","13","0","13","0","13","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"POTOMAC MIDDLE","COPPER","COPPER","DISSOLVED","Not Listed","13","13","12","0","13","0","13","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","COPPER","COPPER","DISSOLVED","Not Listed","13","13","12","0","13","0","13","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","COPPER","COPPER","DISSOLVED","4a","13","13","13","0","13","0","13","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 4a","3","No"
"ROCK CREEK UPPER","COPPER","COPPER","DISSOLVED","Not Listed","155","155","154","0","155","0","107","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"TEXAS AVENUE TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","6","6","4","0","6","0","3","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"TIDAL BASIN","COPPER","COPPER","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"WASHINGTON SHIP CHANNEL","COPPER","COPPER","DISSOLVED","Not Listed","4","16","16","0","16","0","12","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"WATTS BRANCH LOWER","COPPER","COPPER","DISSOLVED","Not Listed","3","3","3","0","3","0","3","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"WATTS BRANCH UPPER","COPPER","COPPER","DISSOLVED","Not Listed","157","159","156","1","159","1","113","119","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No","Not listed - take no action","16","No"
"BATTERY KEMBLE CREEK","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","0","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Remove from Category 3","8","No"
"C&O CANAL","COPPER","COPPER","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","6","6","6","0","6","0","3","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","6","6","4","0","6","0","3","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","COPPER","COPPER","DISSOLVED","Not Listed","1","2","2","0","2","0","0","0","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","LEAD","LEAD","DISSOLVED","Not Listed","21","49","38","0","49","0","37","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"ANACOSTIA UPPER","LEAD","LEAD","DISSOLVED","Not Listed","11","37","31","0","37","0","18","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"BROAD BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","13","13","6","0","13","0","13","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"DUMBARTON OAKS","LEAD","LEAD","DISSOLVED","Not Listed","13","13","4","1","13","1","13","10","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","Yes","Not listed - take no action","16","No"
"FENWICK BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"FORT DUPONT TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","16","16","7","0","16","0","13","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","16","17","9","0","17","0","13","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"HICKEY RUN","LEAD","LEAD","DISSOLVED","Not Listed","150","150","145","0","150","0","102","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"KINGMAN LAKE","LEAD","LEAD","DISSOLVED","Not Listed","10","22","18","0","22","0","12","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"KLINGLE VALLEY","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"LUZON BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"MELVIN HAZEN VALLEY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","13","13","4","0","13","0","13","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"NASH RUN","LEAD","LEAD","DISSOLVED","Not Listed","3","4","4","0","4","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"NORMANSTONE CREEK","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"OXON RUN","LEAD","LEAD","DISSOLVED","Not Listed","1","1","1","0","1","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"PINEHURST BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"PINEY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","1","1","1","0","1","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"POPE BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","1","1","1","0","1","0","1","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"PORTAL BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"POTOMAC LOWER","LEAD","LEAD","DISSOLVED","Not Listed","13","13","5","1","13","1","13","9","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","Yes","Not listed - take no action","16","No"
"POTOMAC MIDDLE","LEAD","LEAD","DISSOLVED","Not Listed","13","13","5","0","13","0","13","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"POTOMAC UPPER","LEAD","LEAD","DISSOLVED","Not Listed","13","13","4","0","13","0","13","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"ROCK CREEK LOWER","LEAD","LEAD","DISSOLVED","4a","13","13","6","0","13","0","13","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Remove from Category 4a","3","No"
"ROCK CREEK UPPER","LEAD","LEAD","DISSOLVED","Not Listed","155","155","148","0","155","0","107","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"SOAPSTONE CREEK","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"TEXAS AVENUE TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","3","3","2","0","3","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"TIDAL BASIN","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"WASHINGTON SHIP CHANNEL","LEAD","LEAD","DISSOLVED","Not Listed","4","16","8","0","16","0","12","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"WATTS BRANCH LOWER","LEAD","LEAD","DISSOLVED","Not Listed","3","3","2","0","3","0","3","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"WATTS BRANCH UPPER","LEAD","LEAD","DISSOLVED","Not Listed","157","159","131","0","159","0","113","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"BATTERY KEMBLE CREEK","LEAD","LEAD","DISSOLVED","Not Listed","1","1","1","0","1","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"C&O CANAL","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"FORT CHAPLIN TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","3","3","3","0","3","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"FORT DAVIS TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","3","3","3","0","3","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"FOUNDRY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","1","2","2","0","2","0","0","0","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672",NA,"Not listed - take no action","15","No"
"ANACOSTIA LOWER","MERCURY","MERCURY","DISSOLVED","Not Listed","21","49","2","0","49","0","37","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"ANACOSTIA UPPER","MERCURY","MERCURY","DISSOLVED","Not Listed","8","30","1","0","30","0","18","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"BROAD BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"DALECARLIA TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"DUMBARTON OAKS","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","1","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"FENWICK BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"FORT DUPONT TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"FORT STANTON TRIBUTARY","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"HICKEY RUN","MERCURY","MERCURY","DISSOLVED","Not Listed","1","1","0","0","1","0","1","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"KINGMAN LAKE","MERCURY","MERCURY","DISSOLVED","Not Listed","7","18","2","0","18","0","12","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"KLINGLE VALLEY","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"LUZON BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","13","13","0","0","13","0","13","0","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"NASH RUN","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"NORMANSTONE CREEK","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"OXON RUN","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"PINEHURST BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
"PINEY BRANCH","MERCURY","MERCURY","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","0.77","0.000221 - 0.26","1.4","0.000121 - 0.143",NA,"Not listed - take no action","15","No"
