"waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","n_c_exceedance","n_c_exceedance_2011_to_2021","n_c_exceedance_2016_to_2021","n_since_most_recent_c_exceedance","most_recent_c_exceedance_date","current_category","ccc_criterion","ccc_dl_ratio_range","ccc_dl_ratio","cmc_criterion","cmc_dl_ratio_range","cmc_dl_ratio","c_criterion","c_dl_ratio","d_criterion","d_dl_ratio_range","d_dl_ratio","tidal_type","fish_tissue_results_class_d","updated_tmdl","d_decision_case_number","decision_category","d_decision_description"
"KLINGLE VALLEY","ARSENIC","TOTAL","ARSENIC",22,2012,0,"Never",22,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"LUZON BRANCH","ARSENIC","TOTAL","ARSENIC",22,2012,0,"Never",22,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","TOTAL","ARSENIC",38,2021,7,"2021",38,0,0,7,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,16,2021,7,"2021",0,0,7,13,2021,7,"2021",0,0,7,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",7,"Category 5","Move to Category 5"
"NASH RUN","ARSENIC","TOTAL","ARSENIC",31,2019,6,"2019",30,0,0,6,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,10,2019,6,"2019",0,0,6,3,2019,3,"2019",0,0,3,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"NORMANSTONE CREEK","ARSENIC","TOTAL","ARSENIC",24,2012,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"OXON RUN","ARSENIC","TOTAL","ARSENIC",36,2013,0,"Never",36,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEHURST BRANCH","ARSENIC","TOTAL","ARSENIC",24,2012,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"PINEY BRANCH","ARSENIC","TOTAL","ARSENIC",25,2013,0,"Never",25,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POPE BRANCH","ARSENIC","TOTAL","ARSENIC",22,2017,1,"2017",22,0,0,1,NA,"Never",NA,"Never",2017-08-07,"2017",0,0,0,3,2017,1,"2017",0,0,1,1,2017,1,"2017",0,0,1,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",11,"Category 3","Keep in Category 3"
"PORTAL BRANCH","ARSENIC","TOTAL","ARSENIC",24,2012,0,"Never",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"POTOMAC LOWER","ARSENIC","TOTAL","ARSENIC",170,2021,13,"2021",93,0,0,13,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,25,2021,10,"2021",0,0,10,13,2021,10,"2021",0,0,10,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Tidal","No exceedances","No",14,"Category 5","Move to Category 5"
"POTOMAC MIDDLE","ARSENIC","TOTAL","ARSENIC",93,2021,11,"2021",55,0,0,11,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,19,2021,9,"2021",0,0,9,13,2021,9,"2021",0,0,9,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Tidal","No exceedances","No",14,"Category 5","Move to Category 5"
"POTOMAC UPPER","ARSENIC","TOTAL","ARSENIC",50,2021,12,"2021",50,0,0,12,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,15,2021,11,"2021",0,0,11,13,2021,11,"2021",0,0,11,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Tidal","No exceedances","No",14,"Category 5","Move to Category 5"
"ROCK CREEK LOWER","ARSENIC","TOTAL","ARSENIC",57,2021,10,"2021",57,0,0,10,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,16,2021,10,"2021",0,0,10,13,2021,10,"2021",0,0,10,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",14,"Category 5","Move to Category 5"
"ROCK CREEK UPPER","ARSENIC","TOTAL","ARSENIC",47,2012,0,"Never",47,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"SOAPSTONE CREEK","ARSENIC","TOTAL","ARSENIC",23,2012,0,"Never",23,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","ARSENIC","TOTAL","ARSENIC",39,2019,7,"2019",39,0,0,7,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,8,2019,6,"2019",0,0,6,3,2019,3,"2019",0,0,3,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"TIDAL BASIN","ARSENIC","TOTAL","ARSENIC",48,2012,0,"Never",48,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Tidal","No exceedances","No",15,"Category 2","Not listed - take no action"
"WASHINGTON SHIP CHANNEL","ARSENIC","TOTAL","ARSENIC",55,2016,17,"2016",43,0,0,17,NA,"Never",NA,"Never",2016-12-01,"2016",0,0,0,19,2016,16,"2016",0,0,16,12,2016,12,"2016",0,0,12,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Tidal","No exceedances","No",14,"Category 5","Move to Category 5"
"WATTS BRANCH LOWER","ARSENIC","TOTAL","ARSENIC",41,2017,3,"2017",41,0,0,3,NA,"Never",NA,"Never",2017-07-23,"2017",0,0,0,6,2017,3,"2017",0,0,3,3,2017,3,"2017",0,0,3,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",14,"Category 5","Move to Category 5"
"WATTS BRANCH UPPER","ARSENIC","TOTAL","ARSENIC",92,2021,11,"2021",53,0,0,11,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,19,2021,11,"2021",0,0,11,13,2021,11,"2021",0,0,11,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",14,"Category 5","Move to Category 5"
"BATTERY KEMBLE CREEK","ARSENIC","TOTAL","ARSENIC",42,2013,0,"Never",42,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,4,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",8,"Category 2","Remove from Category 3"
"C&O CANAL","ARSENIC","TOTAL","ARSENIC",69,2012,0,"Never",38,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2012,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","ARSENIC","TOTAL","ARSENIC",42,2019,6,"2019",42,0,0,6,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,9,2019,5,"2019",0,0,5,3,2019,3,"2019",0,0,3,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"FORT DAVIS TRIBUTARY","ARSENIC","TOTAL","ARSENIC",45,2019,6,"2019",45,0,0,6,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,9,2019,5,"2019",0,0,5,3,2019,3,"2019",0,0,3,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","Yes",1,"Category 4a","Keep in Category 4a"
"FOUNDRY BRANCH","ARSENIC","TOTAL","ARSENIC",10,2013,0,"Never",9,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"0.14","2.07 - 35.7","greater than 1","Non-tidal","NA - not sampled","No",15,"Category 2","Not listed - take no action"
"ANACOSTIA LOWER","COPPER","TOTAL","COPPER",52,2021,52,"2021",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,52,"2021",0,0,0,40,2021,40,"2021",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Tidal","No exceedances","Yes",0,NA,"Remove from Category 4a"
"ANACOSTIA UPPER","COPPER","TOTAL","COPPER",56,2019,56,"2019",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,56,2019,56,"2019",0,0,0,37,2019,37,"2019",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Tidal","No exceedances","Yes",0,NA,"Remove from Category 4a"
"BROAD BRANCH","COPPER","TOTAL","COPPER",13,2021,13,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,13,"2021",0,0,0,13,2021,13,"2021",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"DALECARLIA TRIBUTARY","COPPER","TOTAL","COPPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"DUMBARTON OAKS","COPPER","TOTAL","COPPER",13,2021,12,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,12,"2021",0,0,0,13,2021,12,"2021",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"FENWICK BRANCH","COPPER","TOTAL","COPPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","COPPER","TOTAL","COPPER",19,2021,19,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2021,19,"2021",0,0,0,16,2021,16,"2021",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"FORT STANTON TRIBUTARY","COPPER","TOTAL","COPPER",20,2021,20,"2021",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,20,"2021",0,0,0,16,2021,16,"2021",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"HICKEY RUN","COPPER","TOTAL","COPPER",1,2017,1,"2017",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,1,"2017",0,0,0,1,2017,1,"2017",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"KINGMAN LAKE","COPPER","TOTAL","COPPER",25,2019,25,"2019",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,25,"2019",0,0,0,15,2019,15,"2019",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Remove from Category 3"
"KLINGLE VALLEY","COPPER","TOTAL","COPPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"LUZON BRANCH","COPPER","TOTAL","COPPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","COPPER","TOTAL","COPPER",13,2021,11,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,11,"2021",0,0,0,13,2021,11,"2021",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"NASH RUN","COPPER","TOTAL","COPPER",7,2019,7,"2019",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,7,"2019",0,0,0,3,2019,3,"2019",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"NORMANSTONE CREEK","COPPER","TOTAL","COPPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Not listed - take no action"
"OXON RUN","COPPER","TOTAL","COPPER",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"2013",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"PINEHURST BRANCH","COPPER","TOTAL","COPPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"PINEY BRANCH","COPPER","TOTAL","COPPER",1,2013,1,"2013",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,1,"2013",0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"POPE BRANCH","COPPER","TOTAL","COPPER",1,2017,1,"2017",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2017,1,"2017",0,0,0,1,2017,1,"2017",0,0,0,0,0,0,0,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"PORTAL BRANCH","COPPER","TOTAL","COPPER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 3"
"POTOMAC LOWER","COPPER","TOTAL","COPPER",13,2021,13,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,13,"2021",0,0,0,13,2021,13,"2021",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"POTOMAC MIDDLE","COPPER","TOTAL","COPPER",13,2021,12,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,12,"2021",0,0,0,13,2021,12,"2021",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"POTOMAC UPPER","COPPER","TOTAL","COPPER",13,2021,11,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,11,"2021",0,0,0,13,2021,11,"2021",0,0,0,0,0,0,0,NA,"Not Listed",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Tidal","No exceedances","No",0,NA,"Not listed - take no action"
"ROCK CREEK LOWER","COPPER","TOTAL","COPPER",13,2021,13,"2021",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,13,"2021",0,0,0,13,2021,13,"2021",0,0,0,0,0,0,0,NA,"4a",NA,NA,NA,NA,NA,NA,NA,NA,"no criteria",NA,NA,"Non-tidal","NA - not sampled","No",0,NA,"Remove from Category 4a"
