"Waterbody","Pollutant","Pollutant Group","Test Fraction","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples","# Detects","# Exceedances","# of Samples Within Last 10 Years (2013-2023)","# of Exceedances Within Last 10 Years (2013-2023)","# of Samples Within Last 5 Years (2018-2023)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"KLINGLE VALLEY","ARSENIC","ARSENIC","TOTAL","3","D","22","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","ARSENIC","ARSENIC","TOTAL","3","D","22","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","D","49","11","11","24","11","24","7","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","7"
"NASH RUN","ARSENIC","ARSENIC","TOTAL","4a","D","31","6","6","7","6","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","TOTAL","Not Listed","none","24","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","ARSENIC","ARSENIC","TOTAL","3","D","36","0","0","1","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","ARSENIC","ARSENIC","TOTAL","3","D","24","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","ARSENIC","ARSENIC","TOTAL","3","D","25","0","0","1","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","ARSENIC","ARSENIC","TOTAL","3","D","22","1","1","1","1","0","0","0.14","2.07 - 35.7","No","NA - not sampled","Keep in Category 3","11"
"PORTAL BRANCH","ARSENIC","ARSENIC","TOTAL","3","D","24","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","none","181","23","23","24","20","24","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","TOTAL","Not Listed","none","104","20","20","24","18","24","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14"
"POTOMAC UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","none","61","22","22","24","21","24","0","0.14","2.07 - 35.7","Yes","No exceedances","Move to Category 5","14"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","none","68","19","19","24","19","24","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","none","47","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","TOTAL","3","D","23","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","D","39","7","7","6","6","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","ARSENIC","ARSENIC","TOTAL","Not Listed","none","48","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","No exceedances","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","TOTAL","Not Listed","none","55","17","17","16","16","0","0","0.14","2.07 - 35.7","No","No exceedances","Move to Category 5","14"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","TOTAL","Not Listed","none","41","3","3","3","3","0","0","0.14","2.07 - 35.7","No","NA - not sampled","Move to Category 5","14"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","TOTAL","Not Listed","none","103","22","22","24","22","24","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Move to Category 5","14"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","TOTAL","3","D","42","0","0","1","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Remove from Category 3","8"
"C&O CANAL","ARSENIC","ARSENIC","TOTAL","Not Listed","none","69","0","0","0","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","D","42","6","6","6","5","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","TOTAL","4a","D","45","6","6","6","5","3","0","0.14","2.07 - 35.7","Yes","NA - not sampled","Keep in Category 4a","1"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","TOTAL","Not Listed","none","10","0","0","2","0","0","No exceedance","0.14","2.07 - 35.7","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","MERCURY","MERCURY","TOTAL","Not Listed","none","73","5","2","60","1","24","0","0.15","0.00113 - 1.33","Yes","No exceedances","Not listed - take no action","16"
"ANACOSTIA UPPER","MERCURY","MERCURY","TOTAL","Not Listed","none","70","3","2","30","0","0","45","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"BROAD BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","24","1","0","24","0","24","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","none","10","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"DUMBARTON OAKS","MERCURY","MERCURY","TOTAL","Not Listed","none","24","2","2","24","2","24","0","0.15","0.00113 - 1.33","Yes","NA - not sampled","Move to Category 5","14"
"FENWICK BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DUPONT TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","none","25","0","0","24","0","24","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","none","36","0","0","25","0","25","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","MERCURY","MERCURY","TOTAL","Not Listed","none","158","146","1","144","1","105","34","0.15","0.00113 - 1.33","Yes","NA - not sampled","Not listed - take no action","16"
"KINGMAN LAKE","MERCURY","MERCURY","TOTAL","Not Listed","none","33","0","0","18","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","No exceedances","Not listed - take no action","15"
"KLINGLE VALLEY","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"LUZON BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","24","2","1","24","1","24","0","0.15","0.00113 - 1.33","Yes","NA - not sampled","Not listed - take no action","16"
"NASH RUN","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"NORMANSTONE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","MERCURY","MERCURY","TOTAL","Not Listed","none","11","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"PINEHURST BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"PINEY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"POPE BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","1","0","0","1","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"PORTAL BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"POTOMAC LOWER","MERCURY","MERCURY","TOTAL","Not Listed","none","76","2","2","24","1","24","0","0.15","0.00113 - 1.33","Yes","No exceedances","Not listed - take no action","16"
"POTOMAC MIDDLE","MERCURY","MERCURY","TOTAL","Not Listed","none","50","0","0","24","0","24","No exceedance","0.15","0.00113 - 1.33","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","MERCURY","MERCURY","TOTAL","Not Listed","none","37","1","1","24","0","24","29","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","MERCURY","MERCURY","TOTAL","4a","D","33","1","1","24","0","24","32","0.15","0.00113 - 1.33","No","NA - not sampled","Remove from Category 4a","3"
"ROCK CREEK UPPER","MERCURY","MERCURY","TOTAL","4a","D","161","152","1","148","0","104","159","0.15","0.00113 - 1.33","No","NA - not sampled","Remove from Category 4a","3"
"SOAPSTONE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","none","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","none","11","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"TIDAL BASIN","MERCURY","MERCURY","TOTAL","Not Listed","none","10","1","1","0","0","0","8","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","TOTAL","Not Listed","none","29","0","0","16","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","No exceedances","Not listed - take no action","15"
"WATTS BRANCH LOWER","MERCURY","MERCURY","TOTAL","Not Listed","none","14","1","0","3","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"WATTS BRANCH UPPER","MERCURY","MERCURY","TOTAL","Not Listed","none","194","147","0","169","0","129","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","none","10","2","2","0","0","0","4","0.15","0.00113 - 1.33","No","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","MERCURY","MERCURY","TOTAL","Not Listed","none","15","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","none","5","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","none","11","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","none","7","1","1","0","0","0","5","0.15","0.00113 - 1.33","No","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","ZINC","ZINC","TOTAL","4a","D","90","67","0","63","0","27","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Remove from Category 4a","3"
"ANACOSTIA UPPER","ZINC","ZINC","TOTAL","4a","D","123","89","0","56","0","19","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Remove from Category 4a","3"
"BROAD BRANCH","ZINC","ZINC","TOTAL","Not Listed","none","34","10","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ZINC","ZINC","TOTAL","3","D","24","7","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","ZINC","ZINC","TOTAL","3","D","35","23","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"FENWICK BRANCH","ZINC","ZINC","TOTAL","3","D","11","2","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","TOTAL","3","D","42","33","0","30","0","27","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"FORT STANTON TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","none","55","39","0","32","0","28","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","ZINC","ZINC","TOTAL","3","D","28","20","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"KINGMAN LAKE","ZINC","ZINC","TOTAL","3","D","65","55","0","25","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Remove from Category 3","10"
"KLINGLE VALLEY","ZINC","ZINC","TOTAL","3","D","9","0","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","ZINC","ZINC","TOTAL","3","D","8","3","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","TOTAL","3","D","34","12","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"NASH RUN","ZINC","ZINC","TOTAL","3","D","16","15","0","7","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","10"
"NORMANSTONE CREEK","ZINC","ZINC","TOTAL","Not Listed","none","10","0","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","ZINC","ZINC","TOTAL","3","D","21","14","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEHURST BRANCH","ZINC","ZINC","TOTAL","3","D","10","1","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","ZINC","ZINC","TOTAL","3","D","11","2","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","ZINC","ZINC","TOTAL","3","D","8","3","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"PORTAL BRANCH","ZINC","ZINC","TOTAL","3","D","10","6","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","ZINC","ZINC","TOTAL","Not Listed","none","119","40","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC MIDDLE","ZINC","ZINC","TOTAL","Not Listed","none","64","18","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","ZINC","ZINC","TOTAL","Not Listed","none","41","16","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","ZINC","ZINC","TOTAL","4a","D","54","28","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 4a","3"
"ROCK CREEK UPPER","ZINC","ZINC","TOTAL","Not Listed","none","32","9","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","ZINC","ZINC","TOTAL","3","D","10","1","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","none","27","26","0","6","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"TIDAL BASIN","ZINC","ZINC","TOTAL","Not Listed","none","33","13","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","TOTAL","Not Listed","none","42","19","0","16","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","No exceedances","Not listed - take no action","15"
"WATTS BRANCH LOWER","ZINC","ZINC","TOTAL","Not Listed","none","26","17","0","3","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"WATTS BRANCH UPPER","ZINC","ZINC","TOTAL","Not Listed","none","74","57","0","24","0","24","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","ZINC","ZINC","TOTAL","3","D","27","9","0","1","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Remove from Category 3","8"
"C&O CANAL","ZINC","ZINC","TOTAL","Not Listed","none","46","13","0","0","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","none","27","20","0","6","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","TOTAL","Not Listed","none","30","27","0","6","0","3","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"FOUNDRY BRANCH","ZINC","ZINC","TOTAL","Not Listed","none","10","10","0","2","0","0","No exceedance","26000","0.0000846 - 0.000769","No exceedance","NA - not sampled","Not listed - take no action","15"
"ANACOSTIA LOWER","4_4_DDD","DDD",NA,"4a","D","63","3","3","63","3","27","24","0.00012","1.67 - 43.3","Yes","No exceedances","Keep in Category 4a","1"
"ANACOSTIA UPPER","4_4_DDD","DDD",NA,"4a","D","105","21","21","105","21","68","0","0.00012","1.67 - 43.3","Yes","No exceedances","Keep in Category 4a","1"
"BROAD BRANCH","4_4_DDD","DDD",NA,"Not Listed","none","25","1","1","25","1","24","3","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 3","18"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"DUMBARTON OAKS","4_4_DDD","DDD",NA,"3","D","26","0","0","26","0","24","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"FENWICK BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","none","24","1","1","24","1","24","10","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 3","18"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","none","29","1","1","29","1","25","23","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 3","18"
"HICKEY RUN","4_4_DDD","DDD",NA,"3","D","6","0","0","6","0","3","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"KINGMAN LAKE","4_4_DDD","DDD",NA,"3","D","25","3","3","25","3","3","0","0.00012","1.67 - 43.3","Yes","No exceedances","Move to Category 5","7"
"KLINGLE VALLEY","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"LUZON BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD",NA,"3","D","25","1","1","25","1","24","20","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in Category 3","12"
"NASH RUN","4_4_DDD","DDD",NA,"3","D","7","0","0","7","0","3","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"NORMANSTONE CREEK","4_4_DDD","DDD",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","4_4_DDD","DDD",NA,"Not Listed","none","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"PINEHURST BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"PINEY BRANCH","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"POPE BRANCH","4_4_DDD","DDD",NA,"3","D","7","0","0","7","0","4","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"PORTAL BRANCH","4_4_DDD","DDD",NA,"3","D","2","0","0","2","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"POTOMAC LOWER","4_4_DDD","DDD",NA,"Not Listed","none","24","2","2","24","2","24","0","0.00012","1.67 - 43.3","Yes","No exceedances","Move to Category 5","14"
"POTOMAC MIDDLE","4_4_DDD","DDD",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Not listed - take no action","15"
"POTOMAC UPPER","4_4_DDD","DDD",NA,"Not Listed","none","24","0","0","24","0","24","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Not listed - take no action","15"
"ROCK CREEK LOWER","4_4_DDD","DDD",NA,"Not Listed","none","24","3","3","24","3","24","5","0.00012","1.67 - 43.3","Yes","NA - not sampled","Move to Category 5","14"
"ROCK CREEK UPPER","4_4_DDD","DDD",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"SOAPSTONE CREEK","4_4_DDD","DDD",NA,"3","D","1","0","0","1","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD",NA,"4a","D","6","6","6","6","6","3","0","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in Category 4a","1"
"TIDAL BASIN","4_4_DDD","DDD",NA,"3","D","3","0","0","3","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Remove from Category 3","8"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD",NA,"3","D","19","0","0","19","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","No exceedances","Remove from Category 3","8"
"WATTS BRANCH LOWER","4_4_DDD","DDD",NA,"3","D","7","0","0","7","0","4","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Keep in Category 3","9"
"WATTS BRANCH UPPER","4_4_DDD","DDD",NA,"3","D","24","1","1","24","1","24","12","0.00012","1.67 - 43.3","Yes","NA - not sampled","Keep in Category 3","12"
"BATTERY KEMBLE CREEK","4_4_DDD","DDD",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"C&O CANAL","4_4_DDD","DDD",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","4_4_DDD","DDD",NA,"Not Listed","none","0","0","0","0","0","0","No exceedance","0.00012","1.67 - 43.3","No exceedance","NA - not sampled","Not listed - take no action","15"
