"waterbody_segment","pollutant_group","test_fraction","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample_year","number_of_detects","most_recent_detect_year","number_of_samples_exceeding_class_c","most_recent_class_c_exceedance","number_of_samples_since_last_class_c_exceedance","has_there_been_multi_class_c_exceedance_in_3yr","when_was_last_period_with_multi_class_c_exceedance"
"PORTAL BRANCH","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","ARSENIC","DISSOLVED","","","13","13","2021","10","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","ARSENIC","DISSOLVED","","","13","13","2021","8","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","ARSENIC","DISSOLVED","","","13","13","2021","9","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","ARSENIC","DISSOLVED","","","13","13","2021","6","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","ARSENIC","DISSOLVED","","","6","3","2019","6","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","ARSENIC","DISSOLVED","","","16","12","2016","12","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","ARSENIC","DISSOLVED","","","3","3","2017","2","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","ARSENIC","DISSOLVED","","","13","13","2021","11","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","ARSENIC","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","ARSENIC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","ARSENIC","DISSOLVED","","","6","3","2019","6","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","ARSENIC","DISSOLVED","","","6","3","2019","5","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","ARSENIC","DISSOLVED","","","2","0","2013","2","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","COPPER","DISSOLVED","","","52","40","2021","52","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","COPPER","DISSOLVED","","","56","37","2019","56","2019","1 (CCC), 0 (CMC)","2016 (CCC) NA (CMC)","21 (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","COPPER","DISSOLVED","","","13","13","2021","13","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","COPPER","DISSOLVED","","","13","13","2021","11","2021","1 (CCC), 1 (CMC)","2020 (CCC) 2020 (CMC)","10 (CCC), 10 (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","COPPER","DISSOLVED","","","19","16","2021","18","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","COPPER","DISSOLVED","","","20","16","2021","19","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","COPPER","DISSOLVED","","","150","102","2021","147","2021","1 (CCC), 0 (CMC)","2018 (CCC) NA (CMC)","71 (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","COPPER","DISSOLVED","","","25","15","2019","25","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","COPPER","DISSOLVED","","","13","13","2021","12","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","COPPER","DISSOLVED","","","7","3","2019","7","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","COPPER","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","COPPER","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","COPPER","DISSOLVED","","","1","1","2017","1","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","COPPER","DISSOLVED","","","13","13","2021","13","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","COPPER","DISSOLVED","","","13","13","2021","12","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","COPPER","DISSOLVED","","","13","13","2021","12","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","COPPER","DISSOLVED","","","13","13","2021","13","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","COPPER","DISSOLVED","","","155","107","2021","154","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","COPPER","DISSOLVED","","","6","3","2019","4","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","COPPER","DISSOLVED","","","16","12","2016","16","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","COPPER","DISSOLVED","","","3","3","2017","3","2017","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","COPPER","DISSOLVED","","","159","113","2021","156","2021","1 (CCC), 0 (CMC)","2016 (CCC) NA (CMC)","119 (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","COPPER","DISSOLVED","","","1","0","2013","1","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","COPPER","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","COPPER","DISSOLVED","","","6","3","2019","6","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","COPPER","DISSOLVED","","","6","3","2019","4","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","COPPER","DISSOLVED","","","2","0","2013","2","2013","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","MERCURY","DISSOLVED","","","49","37","2021","2","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","MERCURY","DISSOLVED","","","30","18","2016","1","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","MERCURY","DISSOLVED","","","13","13","2021","1","2020","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"HICKEY RUN","MERCURY","DISSOLVED","","","1","1","2017","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KINGMAN LAKE","MERCURY","DISSOLVED","","","18","12","2016","2","2016","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"KLINGLE VALLEY","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"LUZON BRANCH","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NASH RUN","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"NORMANSTONE CREEK","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"OXON RUN","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEHURST BRANCH","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PINEY BRANCH","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POPE BRANCH","MERCURY","DISSOLVED","","","1","1","2017","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"PORTAL BRANCH","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC LOWER","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC MIDDLE","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"POTOMAC UPPER","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK LOWER","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ROCK CREEK UPPER","MERCURY","DISSOLVED","","","1","0","2002","1","2002","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"SOAPSTONE CREEK","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TEXAS AVENUE TRIBUTARY","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"TIDAL BASIN","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WASHINGTON SHIP CHANNEL","MERCURY","DISSOLVED","","","16","12","2016","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH LOWER","MERCURY","DISSOLVED","","","3","3","2017","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"WATTS BRANCH UPPER","MERCURY","DISSOLVED","","","13","13","2021","0","never","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BATTERY KEMBLE CREEK","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"C&O CANAL","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT CHAPLIN TRIBUTARY","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DAVIS TRIBUTARY","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FOUNDRY BRANCH","MERCURY","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA LOWER","ZINC","DISSOLVED","","","52","40","2021","42","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"ANACOSTIA UPPER","ZINC","DISSOLVED","","","56","37","2019","51","2019","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"BROAD BRANCH","ZINC","DISSOLVED","","","13","13","2021","4","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DALECARLIA TRIBUTARY","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"DUMBARTON OAKS","ZINC","DISSOLVED","","","13","13","2021","10","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FENWICK BRANCH","ZINC","DISSOLVED","","","0","0","Never","0","Never","NA (CCC), NA (CMC)","Never (CCC) Never (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT DUPONT TRIBUTARY","ZINC","DISSOLVED","","","19","16","2021","18","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
"FORT STANTON TRIBUTARY","ZINC","DISSOLVED","","","20","16","2021","16","2021","0 (CCC), 0 (CMC)","NA (CCC) NA (CMC)","NA (CCC), NA (CMC)","No (CCC) No (CMC)","Never (CCC) Never (CMC)"
