"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Fish Tissue Results","Reevaluation Categorization Decision for Class D","Decision Logic Case #"
"POTOMAC LOWER","COPPER","COPPER","TOTAL","Not Listed","13","13","13","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"POTOMAC MIDDLE","COPPER","COPPER","TOTAL","Not Listed","13","13","12","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"POTOMAC UPPER","COPPER","COPPER","TOTAL","Not Listed","13","13","11","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"ROCK CREEK LOWER","COPPER","COPPER","TOTAL","4a","13","13","13","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 4a","0"
"ROCK CREEK UPPER","COPPER","COPPER","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"SOAPSTONE CREEK","COPPER","COPPER","TOTAL","3","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"TEXAS AVENUE TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","6","N/A - no Class D WQ criteria","6","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"TIDAL BASIN","COPPER","COPPER","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"WASHINGTON SHIP CHANNEL","COPPER","COPPER","TOTAL","Not Listed","4","16","16","N/A - no Class D WQ criteria","16","N/A - no Class D WQ criteria","12","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"WATTS BRANCH LOWER","COPPER","COPPER","TOTAL","Not Listed","3","3","3","N/A - no Class D WQ criteria","3","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"WATTS BRANCH UPPER","COPPER","COPPER","TOTAL","Not Listed","13","13","13","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"BATTERY KEMBLE CREEK","COPPER","COPPER","TOTAL","3","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 3","0"
"C&O CANAL","COPPER","COPPER","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","6","N/A - no Class D WQ criteria","6","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","COPPER","COPPER","TOTAL","Not Listed","6","6","5","N/A - no Class D WQ criteria","6","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FOUNDRY BRANCH","COPPER","COPPER","TOTAL","Not Listed","1","2","2","N/A - no Class D WQ criteria","2","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"ANACOSTIA LOWER","LEAD","LEAD","TOTAL","Not Listed","21","49","49","N/A - no Class D WQ criteria","49","N/A - no Class D WQ criteria","37","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"ANACOSTIA UPPER","LEAD","LEAD","TOTAL","Not Listed","11","37","37","N/A - no Class D WQ criteria","37","N/A - no Class D WQ criteria","18","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"BROAD BRANCH","LEAD","LEAD","TOTAL","Not Listed","13","13","7","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"DALECARLIA TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"DUMBARTON OAKS","LEAD","LEAD","TOTAL","Not Listed","13","13","10","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FENWICK BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT DUPONT TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","16","16","16","N/A - no Class D WQ criteria","16","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT STANTON TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","16","17","13","N/A - no Class D WQ criteria","17","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"HICKEY RUN","LEAD","LEAD","TOTAL","Not Listed","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","1","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"KINGMAN LAKE","LEAD","LEAD","TOTAL","Not Listed","10","22","22","N/A - no Class D WQ criteria","22","N/A - no Class D WQ criteria","12","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"KLINGLE VALLEY","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"LUZON BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"MELVIN HAZEN VALLEY BRANCH","LEAD","LEAD","TOTAL","Not Listed","13","13","10","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"NASH RUN","LEAD","LEAD","TOTAL","Not Listed","3","4","4","N/A - no Class D WQ criteria","4","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"NORMANSTONE CREEK","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"OXON RUN","LEAD","LEAD","TOTAL","Not Listed","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"PINEHURST BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"PINEY BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"POPE BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","1","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"PORTAL BRANCH","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"POTOMAC LOWER","LEAD","LEAD","TOTAL","Not Listed","13","13","13","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"POTOMAC MIDDLE","LEAD","LEAD","TOTAL","Not Listed","13","13","11","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"POTOMAC UPPER","LEAD","LEAD","TOTAL","Not Listed","13","13","11","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"ROCK CREEK LOWER","LEAD","LEAD","TOTAL","4a","13","13","12","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Remove from Category 4a","0"
"ROCK CREEK UPPER","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"SOAPSTONE CREEK","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"TEXAS AVENUE TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","N/A - no Class D WQ criteria","3","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"TIDAL BASIN","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"WASHINGTON SHIP CHANNEL","LEAD","LEAD","TOTAL","Not Listed","4","16","16","N/A - no Class D WQ criteria","16","N/A - no Class D WQ criteria","12","No exceedance","no criteria",NA,"No exceedance","No exceedances","Not listed - take no action","0"
"WATTS BRANCH LOWER","LEAD","LEAD","TOTAL","Not Listed","3","3","3","N/A - no Class D WQ criteria","3","N/A - no Class D WQ criteria","3","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"WATTS BRANCH UPPER","LEAD","LEAD","TOTAL","Not Listed","13","13","13","N/A - no Class D WQ criteria","13","N/A - no Class D WQ criteria","13","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"BATTERY KEMBLE CREEK","LEAD","LEAD","TOTAL","Not Listed","1","1","1","N/A - no Class D WQ criteria","1","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"C&O CANAL","LEAD","LEAD","TOTAL","Not Listed","0","0","0","N/A - no Class D WQ criteria","0","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT CHAPLIN TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","N/A - no Class D WQ criteria","3","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FORT DAVIS TRIBUTARY","LEAD","LEAD","TOTAL","Not Listed","3","3","3","N/A - no Class D WQ criteria","3","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"FOUNDRY BRANCH","LEAD","LEAD","TOTAL","Not Listed","1","2","2","N/A - no Class D WQ criteria","2","N/A - no Class D WQ criteria","0","No exceedance","no criteria",NA,"No exceedance","NA - not sampled","Not listed - take no action","0"
"ANACOSTIA LOWER","MERCURY","MERCURY","TOTAL","Not Listed","34","62","4","1","49","0","37","59","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"ANACOSTIA UPPER","MERCURY","MERCURY","TOTAL","Not Listed","21","70","3","2","30","0","18","45","0.15","0.00113 - 1.33","No","No exceedances","Not listed - take no action","15"
"BROAD BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","13","13","0","0","13","0","13","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","10","10","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"DUMBARTON OAKS","MERCURY","MERCURY","TOTAL","Not Listed","13","13","1","1","13","1","13","10","0.15","0.00113 - 1.33","Yes","NA - not sampled","Not listed - take no action","16"
"FENWICK BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT DUPONT TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","14","14","0","0","13","0","13","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","MERCURY","MERCURY","TOTAL","Not Listed","24","24","0","0","13","0","13","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"HICKEY RUN","MERCURY","MERCURY","TOTAL","Not Listed","112","112","100","0","101","0","100","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"KINGMAN LAKE","MERCURY","MERCURY","TOTAL","Not Listed","18","33","0","0","18","0","12","No exceedance","0.15","0.00113 - 1.33","No exceedance","No exceedances","Not listed - take no action","15"
"KLINGLE VALLEY","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"LUZON BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","13","13","1","0","13","0","13","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"NASH RUN","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"NORMANSTONE CREEK","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"OXON RUN","MERCURY","MERCURY","TOTAL","Not Listed","11","11","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"PINEHURST BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
"PINEY BRANCH","MERCURY","MERCURY","TOTAL","Not Listed","0","0","0","0","0","0","0","No exceedance","0.15","0.00113 - 1.33","No exceedance","NA - not sampled","Not listed - take no action","15"
