"Waterbody","Pollutant","Pollutant Group","Current Categorization in 2020 IR","Class C Decision","Class C Case #","Class D Decision","Class D Case #","Reconciliation of Class C and Class D Categorization Decision"
"POPE BRANCH","ARSENIC","ARSENIC","3","Remove from Category 3",10,"Keep in Category 3",11,"Keep in Category 3"
"PORTAL BRANCH","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"POTOMAC UPPER","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"TIDAL BASIN","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Move to Category 5",14,"Move to Category 5"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"C&O CANAL","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","4a","Remove from Category 4a",3,"Keep in Category 4a",1,"Keep in Category 4a"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","COPPER","COPPER","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"ANACOSTIA UPPER","COPPER","COPPER","4a","Move to Category 3",6,"Remove from Category 4a",0,"Move to Category 3"
"BROAD BRANCH","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"DALECARLIA TRIBUTARY","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"DUMBARTON OAKS","COPPER","COPPER","3","Remove from Category 3",13,"Remove from Category 3",0,"Remove from Category 3"
"FENWICK BRANCH","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","COPPER","COPPER","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"FORT STANTON TRIBUTARY","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"HICKEY RUN","COPPER","COPPER","3","Remove from Category 3",13,"Remove from Category 3",0,"Remove from Category 3"
"KINGMAN LAKE","COPPER","COPPER","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"KLINGLE VALLEY","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"LUZON BRANCH","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","COPPER","COPPER","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"NASH RUN","COPPER","COPPER","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"NORMANSTONE CREEK","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"OXON RUN","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"PINEHURST BRANCH","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"PINEY BRANCH","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"POPE BRANCH","COPPER","COPPER","3","Remove from Category 3",10,"Remove from Category 3",0,"Remove from Category 3"
"PORTAL BRANCH","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"POTOMAC LOWER","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"POTOMAC MIDDLE","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"POTOMAC UPPER","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ROCK CREEK LOWER","COPPER","COPPER","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"ROCK CREEK UPPER","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"SOAPSTONE CREEK","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"TIDAL BASIN","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"WASHINGTON SHIP CHANNEL","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"WATTS BRANCH LOWER","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"WATTS BRANCH UPPER","COPPER","COPPER","Not Listed","Not listed - take no action",16,"Not listed - take no action",0,"Not listed - take no action"
"BATTERY KEMBLE CREEK","COPPER","COPPER","3","Remove from Category 3",8,"Remove from Category 3",0,"Remove from Category 3"
"C&O CANAL","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FOUNDRY BRANCH","COPPER","COPPER","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ANACOSTIA LOWER","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ANACOSTIA UPPER","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"BROAD BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"DALECARLIA TRIBUTARY","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"DUMBARTON OAKS","LEAD","LEAD","Not Listed","Not listed - take no action",16,"Not listed - take no action",0,"Not listed - take no action"
"FENWICK BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT DUPONT TRIBUTARY","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT STANTON TRIBUTARY","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"HICKEY RUN","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"KINGMAN LAKE","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"KLINGLE VALLEY","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"LUZON BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"MELVIN HAZEN VALLEY BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"NASH RUN","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"NORMANSTONE CREEK","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"OXON RUN","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"PINEHURST BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"PINEY BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"POPE BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"PORTAL BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"POTOMAC LOWER","LEAD","LEAD","Not Listed","Not listed - take no action",16,"Not listed - take no action",0,"Not listed - take no action"
"POTOMAC MIDDLE","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"POTOMAC UPPER","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ROCK CREEK LOWER","LEAD","LEAD","4a","Remove from Category 4a",3,"Remove from Category 4a",0,"Remove from Category 4a"
"ROCK CREEK UPPER","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"SOAPSTONE CREEK","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"TEXAS AVENUE TRIBUTARY","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"TIDAL BASIN","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"WASHINGTON SHIP CHANNEL","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"WATTS BRANCH LOWER","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"WATTS BRANCH UPPER","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"BATTERY KEMBLE CREEK","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"C&O CANAL","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"FOUNDRY BRANCH","LEAD","LEAD","Not Listed","Not listed - take no action",15,"Not listed - take no action",0,"Not listed - take no action"
"ANACOSTIA LOWER","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA UPPER","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"BROAD BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"DUMBARTON OAKS","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",16,"Not listed - take no action"
"FENWICK BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DUPONT TRIBUTARY","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"HICKEY RUN","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"KINGMAN LAKE","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"KLINGLE VALLEY","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"LUZON BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"MELVIN HAZEN VALLEY BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"NASH RUN","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"NORMANSTONE CREEK","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"PINEHURST BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"PINEY BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POPE BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"PORTAL BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC LOWER","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","MERCURY","MERCURY","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"ROCK CREEK UPPER","MERCURY","MERCURY","4a","Move to Category 3",2,"Remove from Category 4a",3,"Move to Category 3"
"SOAPSTONE CREEK","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"TEXAS AVENUE TRIBUTARY","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"TIDAL BASIN","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"WASHINGTON SHIP CHANNEL","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"WATTS BRANCH LOWER","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"WATTS BRANCH UPPER","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"BATTERY KEMBLE CREEK","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","MERCURY","MERCURY","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","ZINC","ZINC","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"ANACOSTIA UPPER","ZINC","ZINC","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"BROAD BRANCH","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","ZINC","ZINC","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"FENWICK BRANCH","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","ZINC","ZINC","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"FORT STANTON TRIBUTARY","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"HICKEY RUN","ZINC","ZINC","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"KINGMAN LAKE","ZINC","ZINC","3","Remove from Category 3",13,"Remove from Category 3",10,"Remove from Category 3"
"KLINGLE VALLEY","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","ZINC","ZINC","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"NASH RUN","ZINC","ZINC","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"NORMANSTONE CREEK","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEHURST BRANCH","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","ZINC","ZINC","3","Remove from Category 3",10,"Remove from Category 3",10,"Remove from Category 3"
"PORTAL BRANCH","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","ZINC","ZINC","4a","Remove from Category 4a",3,"Remove from Category 4a",3,"Remove from Category 4a"
"ROCK CREEK UPPER","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"TIDAL BASIN","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"WASHINGTON SHIP CHANNEL","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"WATTS BRANCH LOWER","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"WATTS BRANCH UPPER","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"BATTERY KEMBLE CREEK","ZINC","ZINC","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"C&O CANAL","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","ZINC","ZINC","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ANACOSTIA LOWER","4_4_DDD","DDD","4a","Keep in Category 4a",5,"Keep in Category 4a",1,"Keep in Category 4a"
"ANACOSTIA UPPER","4_4_DDD","DDD","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"BROAD BRANCH","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"DALECARLIA TRIBUTARY","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"DUMBARTON OAKS","4_4_DDD","DDD","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"FENWICK BRANCH","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"FORT DUPONT TRIBUTARY","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT STANTON TRIBUTARY","4_4_DDD","DDD","Not Listed","Move to Category 3",18,"Move to Category 3",18,"Move to Category 3"
"HICKEY RUN","4_4_DDD","DDD","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"KINGMAN LAKE","4_4_DDD","DDD","3","Keep in Category 3",9,"Move to Category 5",7,"Move to Category 5"
"KLINGLE VALLEY","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"LUZON BRANCH","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"MELVIN HAZEN VALLEY BRANCH","4_4_DDD","DDD","3","Keep in Category 3",12,"Keep in Category 3",12,"Keep in Category 3"
"NASH RUN","4_4_DDD","DDD","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"NORMANSTONE CREEK","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"OXON RUN","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"PINEHURST BRANCH","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"PINEY BRANCH","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POPE BRANCH","4_4_DDD","DDD","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"PORTAL BRANCH","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"POTOMAC LOWER","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC MIDDLE","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"POTOMAC UPPER","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"ROCK CREEK LOWER","4_4_DDD","DDD","Not Listed","Move to Category 3",18,"Move to Category 3",18,"Move to Category 3"
"ROCK CREEK UPPER","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"SOAPSTONE CREEK","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"TEXAS AVENUE TRIBUTARY","4_4_DDD","DDD","4a","Keep in Category 4a",1,"Keep in Category 4a",1,"Keep in Category 4a"
"TIDAL BASIN","4_4_DDD","DDD","3","Remove from Category 3",8,"Remove from Category 3",8,"Remove from Category 3"
"WASHINGTON SHIP CHANNEL","4_4_DDD","DDD","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH LOWER","4_4_DDD","DDD","3","Keep in Category 3",9,"Keep in Category 3",9,"Keep in Category 3"
"WATTS BRANCH UPPER","4_4_DDD","DDD","3","Keep in Category 3",12,"Keep in Category 3",12,"Keep in Category 3"
"BATTERY KEMBLE CREEK","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"C&O CANAL","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT CHAPLIN TRIBUTARY","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FORT DAVIS TRIBUTARY","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
"FOUNDRY BRANCH","4_4_DDD","DDD","Not Listed","Not listed - take no action",15,"Not listed - take no action",15,"Not listed - take no action"
