Waterbody,Parameter,Impairment Status,Year,Include,Number of Samples,Number of detects,Number of Detects,Number of likely unflagged NDs,% of samples DL > CCC,CCC_e,CMC_e,D_e,min_e,max_e,CCC_ef,CMC_ef,D_ef
Anacostia Upper,Zinc,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,DDD,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,DDE,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,DDT,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Chlordane,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Dieldrin,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,Heptachlor epoxide,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,PAH1,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,PAH2,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Anacostia Upper,PAH3,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Arsenic,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Copper,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Zinc,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,DDD,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,DDE,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,DDT,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Chlordane,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Dieldrin,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,Heptachlor epoxide,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,PAH1,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,PAH2,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Battery Kemble Creek,PAH3,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Arsenic,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Copper,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Zinc,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,DDD,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,DDE,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,DDT,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Chlordane,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Dieldrin,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,Heptachlor epoxide,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,PAH1,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,PAH2,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Broad Branch,PAH3,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Arsenic,Not impaired/ Impaired for Class D 2020,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Copper,Not impaired/ Impaired for Class D 2020,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Zinc,Not impaired/ Impaired for Class D 2020,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Dieldrin,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,Heptachlor epoxide,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dalecarlia Tributary,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Chlordane,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Dieldrin,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,Heptachlor epoxide,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Dumbarton Oaks,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,DDT,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Dieldrin,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,Heptachlor epoxide,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fenwick Branch,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Copper,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Zinc,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,DDD,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,DDE,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,DDT,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Chlordane,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Dieldrin,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,Heptachlor epoxide,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,PAH1,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,PAH2,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Chaplin Tributary,PAH3,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Copper,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Zinc,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,DDD,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,DDE,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,DDT,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Chlordane,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Dieldrin,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,Heptachlor epoxide,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,PAH1,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,PAH2,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Davis Tributary,PAH3,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,Copper,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,Zinc,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,DDD,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,DDE,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,DDT,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,Chlordane,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,Dieldrin,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,Heptachlor epoxide,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,PAH1,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,PAH2,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Dupont Tributary,PAH3,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,Copper,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,Zinc,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,DDD,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,DDE,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,DDT,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,Chlordane,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,Dieldrin,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,Heptachlor epoxide,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,PAH1,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,PAH2,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Fort Stanton Tributary,PAH3,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,Arsenic,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,Copper,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,Zinc,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,DDD,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,DDE,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,DDT,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,Chlordane,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,Dieldrin,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,Heptachlor epoxide,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,PAH1,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,PAH2,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Foundry Branch,PAH3,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,Arsenic,Not impaired/ Impaired for Class D 2020,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,Copper,Not impaired/ Impaired for Class D 2020,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,Zinc,Not impaired/ Impaired for Class D 2020,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,DDE,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,Chlordane,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,Dieldrin,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,Heptachlor epoxide,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,PAH1,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,PAH2,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Hickey Run,PAH3,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,Copper,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,Zinc,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,DDT,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,Chlordane,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,Dieldrin,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,Heptachlor epoxide,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,PAH1,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,PAH2,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Kingman Lake,PAH3,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,Dieldrin,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,Heptachlor epoxide,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Klingle Valley Run,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,Chlordane,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,Dieldrin,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,Heptachlor epoxide,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Luzon Branch,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,Arsenic,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,Copper,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,Lead,Not impaired ,1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,Zinc,"Not impaired, but moved to Cat. 3, 2014/ Impaired for Class D 2020",1984,No,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,DDD,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,DDE,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,DDT,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,Chlordane,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,Dieldrin,Revised 2016,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,Heptachlor epoxide,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,PAH1,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,PAH2,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Melvin Hazen Valley Branch,PAH3,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Nash Run,Arsenic,Remaining impairment,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Nash Run,Copper,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Nash Run,Lead,Not impaired 2014,1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
Nash Run,Zinc,"Cat. 3, 2014/Impaired for Class D, 2020",1984,Yes,0,,0,0,-,0,0,0,0,0,-,-,-
